所在页面,字号类别,KW,CN（中文）,EN（英文）,FR（法）,DE（德）,ES（西班牙）,IT（意大利）,PT（葡萄牙）,KO（韩）,JP（日）,RU（俄罗斯）,PL（波兰）,TC（繁）,DA（丹麦）,CZ(捷克),瑞典,挪威,荷兰
氛围灯设置,,KW_LAUNCHER_LAMP_BAR_REMINDER,开启后，将增加电量消耗,"When turned on, it will increase power consumption.","Lorsqu'il est activé, il augmente la consommation d'énergie.","Wenn diese Funktion aktiviert ist, erhöht sich der Stromverbrauch.","Después de encender, aumentará el consumo de energía.","Se attivato, aumenterà il consumo energetico.","Quando ativado, aumentará o consumo de energia.","이 기능을 활성화할 경우, 배터리 소모가 증가할 수 있습니다.",有効にすると、バッテリー消耗が増加します。,При включении увеличится расход заряда,Po włączeniu zwiększy zużycie energii.,開啟後，將增加電量消耗,Når aktiveret øger det strømforbruget.,Po zapnutí se zvýší spotřeba energie.,När det är aktiverat ökar strömförbrukningen.,"Når dette er slått på, øker strømforbruket.","Wanneer dit is ingeschakeld, neemt het stroomverbruik toe."
氛围灯设置,,KW_SETTING_LAMP_BAR_COLOR_RANDOM_COLOR,随机颜色,Random Color,Couleur aléatoire,Zufällige Farbe,Color aleatorio,Colore casuale,Cor Aleatória,Random Color,ランダムカラー,Случайный цвет,Losowy kolor,隨機顏色,Tilfældig farve,Náhodná barva,Slumpmässig färg,Tilfeldig farge,Willekeurige kleur
设置列表页、显示设置页,,KW_SETTING_DISPLAY,显示,Display,Affichage,Anzeige,Visualización,Schermo,Tela,Display,表示,Экран,Wyświetlacz,顯示,Skærm,Displej,Skärm,Skjerm,Display
设置列表页、背光设置页、606P专用,,KW_SETTING_BACK_LIGHT,背光,Backlight,Rétroéclairage,Hintergrundbeleuchtung,Retroiluminación,Retroilluminazione,Retroiluminação,Backlight,バックライト,Подсветка,Podświetlenie,背光,Baggrundsbelysning,Podsvícení,Bakgrundsbelysning,Bakgrunnsbelysning,Achtergrondverlichting
背光设置页,,KW_SETTING_BACK_LIGHT_TIME,背光时间,Backlight Duration,Durée du rétroéclairage,Dauer der Hintergrundbeleuchtung,Duración de la retroiluminación,Durata retroilluminazione,Duração da Retroiluminação,Backlight Duration,バックライト時間,Время подсветки,Czas podświetlenia,背光時間,Varighed af baggrundsbelysning,Doba podsvícení,Varaktighet för bakgrundsbelysning,Tid for bakgrunnsbelysning,Duur achtergrondverlichting
背光设置页、606P专用,,KW_SETTING_BACK_LIGHT_ALWAYS_ON,恒亮,Solid,Fixe,Dauerhaft,Sólido,Fisso,Solido,Solid,点灯,Всегда включена,Stałe,恆亮,Fast,Trvale,Fast,Kontinuerlig,Continu
显示列表,,KW_SETTING_DISPLAY_MODE_DRAK_AND_LIGHT,深浅模式,Dark/Light Mode,Mode sombre/clair,Dunkel-/Hellmodus,Modo oscuro / Modo claro,Modalità scura/chiara,Modo Escuro/Claro,Dark/Light Mode,ダーク/ライトモード,Тёмная/светлая тема,Tryb ciemny/jasny,深淺模式,Mørk/lys-tilstand,Tmavý/světlý režim,Mörkt/ljust läge,Mørk/Lys modus,Donkere/lichte modus
深浅模式,,KW_SETTING_DISPLAY_MODE_DRAK,深色,Dark Mode,Mode sombre,Dunkelmodus,Modo oscuro,Modalità scura,Modo Escuro,Dark Mode,ダークモード,Тёмная тема,Tryb ciemny,深色,Mørk tilstand,Tmavý režim,Mörkt läge,Mørk modus,Donkere modus
深浅模式,,KW_SETTING_DISPLAY_MODE_LIGHT,浅色,Light Mode,Mode clair,Hellmodus,Modo claro,Modalità chiara,Modo Claro,Light Mode,ライトモード,Светлая тема,Tryb jasny,淺色,Lys tilstand,Světlý režim,Ljust läge,Lys modus,Lichte modus
深浅模式,,KW_SETTING_DISPLAY_MODE_AUTO,自动,Auto Mode,Mode auto.,Automatischer Modus,Modo automático,Modalità automatica,Modo Automático,Auto Mode,自動モード,Авто,Tryb autom.,自動,Auto-tilstand,Automatický režim,Automatiskt läge,Automatisk modus,Automatische modus
深浅模式,,KW_SETTING_DISPLAY_MODE_SWITCHING_NOTICE,加载中...,Loading...,Chargement...,Wird geladen...,Cargando...,Caricamento...,Carregando...,로딩중...,読み込み中...,Загрузка...,Ładowanie...,加載中...,Indlæser...,Načítání...,Läser in...,Laster...,Laden...
系统设置页深浅模式,,KW_SETTING_DARK_MODE_OPTION_BY_SUN,根据日出日落时间自动切换深浅模式,Auto-switch between dark and light modes based on sunrise and sunset times.,Bascule automatiquement entre les modes sombre et clair selon les heures de lever et de coucher du soleil.,Automatischer Wechsel zwischen Dunkel- und Hellmodus basierend auf Sonnenaufgangs- und Sonnenuntergangszeiten.,Cambio automático entre el modo oscuro y el modo claro según las horas del amanecer y atardecer.,Passa automaticamente tra modalità scura e chiara in base agli orari di alba e tramonto.,Alterna automaticamente entre modos escuro e claro com base nas horas de nascer e pôr do sol.,일출 및 일몰 시간에 맞춰 다크 모드와 라이트 모드가 자동으로 전환됩니다.,日の出と日の入りの時刻に基づいて、ダークモードとライトモードを自動で切り替えます。,Автоматическое переключение темы по времени восхода и заката,Automatycznie przełącza między trybem ciemnym i jasnym na podstawie czasu wschodu i zachodu słońca.,根據日出日落時間自動切換深淺模式,Skift automatisk mellem mørk og lys tilstand baseret på solopgang og solnedgang.,Automaticky přepíná mezi tmavým a světlým režimem podle času východu a západu slunce.,Växla automatiskt mellom mörkt och ljust läge baserat på tider för soluppgång och solnedgång.,Bytt automatisk mellom mørk og lys modus basert på soloppgang og solnedgang.,Wissel automatisch tussen donkere en lichte modus op basis van zonsopgangs- en zonsondergangstijden.
设置列表页、导航设置页,,KW_SETTING_NAVIGATION_SETTING,导航设置,Navigation Settings,Paramètres de navigation,Navigationseinstellungen,Configuración de navegación,Impostazioni navigazione,Definições de Navegação,내비게이션 설정,ナビ設定,Настройки навигации,Ustawienia nawigacji,導航設定,Navigationsindstillinger,Nastavení navigace,Navigeringsinställningar,Navigasjonsinnstillinger,Navigatie-instellingen
导航设置页、地图展示设置页（1.7做完后删除）,,KW_SETTING_MAP_DISPLAY,地图展示,Map Display,Affichage de la carte,Kartenanzeige,Visualización del mapa,Visualizzazione mappa,Exibição do Mapa,지도 표시,地図表示,Отображение карты,Wyświetlanie mapy,地圖展示,Kortvisning,Zobrazení mapy,Kartvisning,Kartvisning,Kaartweergave
导航设置页,,KW_SETTING_MAP_ELEMENT,地图元素,Map Elements,Éléments de la carte,Kartenelemente,Elementos del mapa,Elementi mappa,Elementos do Mapa,지도 요소,地図要素,Элементы карты,Elementy mapy,地圖元素,Kortelementer,Prvky mapy,Kartelement,Kartdetaljer,Kaartelementen
导航——航点弹窗,,KW_MARKPOINT_RESTROOM,洗手间,Restroom,Toilettes,Toilette,Baños,Servizi igienici,Banheiro,화장실,トイレ,Туалет,Toaleta,洗手間,Toilet,Toaleta,Toalett,Toalett,Toilet
导航——航点弹窗,,KW_MARKPOINT_GENERIC,通用点,Generic,Général,Allgemein,Genérico,Generico,Genérico,일반,一般,Общее,Ogólne,通用點,Generisk,Obecné,Allmänt,Generelt,Algemeen
导航——航点弹窗,,KW_MARKPOINT_PARK,公园,Park,Parc,Park,Parque,Parco,Parque,공원,公園,Парк,Park,公園,Park,Park,Park,Park,Park
导航——航点弹窗,,KW_MARKPOINT_VIEWPOINT,观景点,Viewpoint,Point de vue,Aussichtspunkt,Mirador,Punto panoramico,Mirante,전망대,展望スポット,Смотровая площадка,Punkt widokowy,觀景點,Udsigtspunkt,Vyhlídka,Utsiktsplats,Utsiktspunkt,Uitzichtpunt
导航——航点弹窗,,KW_MARKPOINT_COFFEE,咖啡店,Coffee,Café,Café,Café,Caffè,Café,커피,コーヒー,Кофе,Kawa,咖啡店,Kaffe,Káva,Kaffe,Kaffe,Koffie
导航——航点弹窗,,KW_MARKPOINT_BIKE_SHOP,自行车店,Bike Shop,Magasin de vélos,Fahrradgeschäft,Tienda de bicicletas,Negozio di biciclette,Loja de bicicletas,자전거 매장,自転車店,Веломагазин,Sklep rowerowy,自行車店,Cykelbutik,Cykloprodejna,Cykelbutik,Sykkelbutikk,Fietswinkel
导航——航点弹窗,,KW_MARKPOINT_AID_STATION,救助站,Aid Station,Station de ravitaillement,Verpflegungsstation,Puesto de avituallamiento,Punto di ristoro,Posto de apoio,보급소,エイドステーション,Пункт помощи,Punkt pomocy,救助站,Forplejningsstation,Občerstvovací stanice,Depåstation,Hjelpestasjon,Verzorgingspost
导航——航点弹窗,,KW_MARKPOINT_FIRST_AID,急救站,First_aid,Premiers secours,Erste Hilfe,Primeros auxilios,Primo soccorso,Primeiros socorros,응급처치,応急処置,Первая помощь,Pierwsza pomoc,急救站,Førstehjælp,První pomoc,Första hjälpen,Førstehjelp,Eerste hulp
导航——航点弹窗,,KW_MARKPOINT_HOSPITAL,医院,Hospital,Hôpital,Krankenhaus,Hospital,Ospedale,Hospital,병원,病院,Больница,Szpital,醫院,Hospital,Nemocnice,Sjukhus,Sykehus,Ziekenhuis
导航——航点弹窗,,KW_MARKPOINT_BIKE_PARKING,自行车停车区,Bike_parking,Parking vélo,Fahrradparkplatz,Aparcamiento para bicicletas,Parcheggio biciclette,Estacionamento para bicicletas,자전거 주차장,駐輪場,Велопарковка,Parking rowerowy,自行車停車區,Cykelparkering,Parkoviště pro kola,Cykelparkering,Sykkelparkering,Fietsenstalling
导航——航点弹窗,,KW_MARKPOINT_STOP,临时停车区,Stop,Arrêt,Stopp,Parada,Sosta,Parada,정지 지점,停止地点,Остановка,Przystanek,臨時停車區,Stop,Zastávka,Stopp,Stopp,Stop
导航——航点弹窗,,KW_MARKPOINT_PARKING,停车区,Parking,Parking,Parkplatz,Aparcamiento,Parcheggio,Estacionamento,주차장,駐車場,Парковка,Parking,停車區,Parkering,Parkoviště,Parkering,Parkering,Parkeerplaats
导航——航点弹窗,,KW_MARKPOINT_SEGMENT_START,赛段起点,Segment Start,Début du segment,Segmentstart,Inicio del segmento,Inizio segmento,Início do segmento,구간 시작,セグメント開始,Начало сегмента,Początek segmentu,賽段起點,Segmentstart,Začátek segmentu,Segmentstart,Segmentstart,Segmentstart
导航——航点弹窗,,KW_MARKPOINT_SEGMENT_END,赛段终点,Segment End,Fin du segment,Segmentende,Fin del segmento,Fine segmento,Fim do segmento,구간 종료,セグメント終了,Конец сегмента,Koniec segmentu,賽段終點,Segmentslut,Konec segmentu,Segmentslut,Segmentslutt,Segmenteinde
导航——航点弹窗,,KW_MARKPOINT_PEAK,山峰,Peak,Pic,Bergspitze,Pico,Picco,Pico,봉우리,ピーク,Пик,Wierzchołek,山峰,Bjergtop,Vrchol,Topp,Topp,Piek
导航——航点弹窗,,KW_MARKPOINT_SUMMIT,山顶,Summit,Sommet,Gipfel,Cumbre,Vetta,Cume,정상,山頂,Вершина,Szczyt,山頂,Top,Vrchol hory,Bergstopp,Fjelltopp,Top
导航——航点弹窗,,KW_MARKPOINT_CAMP_SITE,露营地,Camp Site,Terrain de camping,Campingplatz,Sitio de acampada,Area campeggio,Área de acampamento,야영지,キャンプ場,Место для лагеря,Miejsce kempingowe,露營地,Campingplads,Tábořiště,Campingplats,Campingplass,Kampeerplaats
导航——航点弹窗,,KW_MARKPOINT_CAMPING,露营,Camping,Camping,Camping,Camping,Campeggio,Camping,캠핑,キャンプ,Кемпинг,Kemping,露營,Camping,Kemp,Camping,Camping,Camping
导航——航点弹窗,,KW_MARKPOINT_RESTAURANT,餐厅,Restaurant,Restaurant,Restaurant,Restaurante,Ristorante,Restaurante,음식점,レストラン,Ресторан,Restauracja,餐廳,Restaurant,Restaurace,Restaurang,Restaurant,Restaurant
导航——航点弹窗,,KW_MARKPOINT_FOOD,食物,Food,Restauration,Essen,Comida,Cibo,Alimentação,음식,食事,Еда,Jedzenie,食物,Mad,Jídlo,Mat,Mat,Eten
导航——航点弹窗,,KW_MARKPOINT_GROCERY,杂货店,Grocery,Épicerie,Lebensmittelgeschäft,Tienda de comestibles,Alimentari,Mercearia,식료품점,食料品店,Продуктовый магазин,Sklep spożywczy,雜貨店,Dagligvarebutik,Potraviny,Livsmedelsbutik,Dagligvarebutikk,Supermarkt
导航——航点弹窗,,KW_MARKPOINT_CONVENIENCE_STORE,便利店,Convenience_store,Supérette,Minimarkt,Tienda de conveniencia,Minimarket,Loja de conveniência,편의점,コンビニ,Магазин у дома,Sklep ogólnospożywczy,便利店,Nærbutik,Večerka,Närbutik,Nærbutikk,Gemakswinkel
导航——航点弹窗,,KW_MARKPOINT_REST_AREA,休息区,Rest Area,Aire de repos,Rastplatz,Área de descanso,Area di sosta,Área de descanso,휴게소,休憩エリア,Зона отдыха,Miejsce odpoczynku,休息區,Rasteplads,Odpočívadlo,Rastplats,Rasteplass,Rustplaats
导航——航点弹窗,,KW_MARKPOINT_REST_STOP,休息站,Rest_stop,Halte de repos,Raststopp,Parada de descanso,Sosta di riposo,Parada de descanso,휴식 지점,休憩地点,Остановка для отдыха,Przystanek wypoczynkowy,休息站,Rastestop,Zastávka k odpočinku,Vilostopp,Rastestopp,Ruststop
导航——航点弹窗,,KW_MARKPOINT_LODGING,住宿点,Lodging,Hébergement,Unterkunft,Alojamiento,Alloggio,Hospedagem,숙박,宿泊施設,Проживание,Nocleg,住宿點,Overnatning,Ubytování,Boende,Overnatting,Accommodatie
导航——航点弹窗,,KW_MARKPOINT_WATER_SOURCE,水源,Water Source,Point d’eau,Wasserquelle,Fuente de agua,Fonte d’acqua,Fonte de água,급수 지점,給水地点,Источник воды,Źródło wody,水源,Vandkilde,Zdroj vody,Vattenkälla,Vannkilde,Waterbron
导航——航点弹窗,,KW_MARKPOINT_WATER,水,Water ,Eau,Wasser,Agua,Acqua,Água,물,水,Вода,Woda,水,Vand,Voda,Vatten,Vann,Water
导航——航点弹窗,,KW_MARKPOINT_CAUTION,注意,Caution,Attention,Vorsicht,Precaución,Attenzione,Cuidado,주의,注意,Осторожно,Uwaga,注意,Advarsel,Upozornění,Varning,Advarsel,Let op
地图元素（706）、地图展示设置页（老设备）,,KW_SETTING_MAP_WATER_DISPLAY,水,Water,Eau,Wasser,Agua,Acqua,Água,물,水域,Вода,Woda,水,Vand,Voda,Vatten,Vannflater,Water
地图元素,,KW_SETTING_MAP_ELEMENT_MOUNTAIN,山,Mountain,Montagne,Berg,Montaña,Montagna,Montanha,산,山,Горы,Góry,山,Bjerg,Hory,Berg,Terreng,Berg
地图元素,,KW_SETTING_MAP_ELEMENT_POI,POI点,POI,POI,POI,POI,POI,POI,POI,POI,POI,POI,POI,POI,POI,POI,POI,POI
地图元素,,KW_SETTING_MAP_ELEMENT_STATEMENT,码表提供了多类兴趣点，包含厕所、商店、医院、车站等。这些兴趣点在地图上均有相应的标识。,"The device offers a variety of points of interest, including restrooms, shops, hospitals, and stations. These points of interest are all marked on the map accordingly.","L'appareil propose divers points d'intérêt, notamment des toilettes, des magasins, des hôpitaux et des gares. Ces points d'intérêt sont tous indiqués sur la carte.","Das Gerät bietet eine Vielzahl von Punkten von Interesse, einschließlich Toiletten, Geschäfte, Krankenhäuser und Bahnhöfe. Diese Punkte von Interesse sind entsprechend auf der Karte markiert.","El dispositivo ofrece una variedad de puntos de interés, incluidos baños, tiendas, hospitales y estaciones. Estos puntos de interés están marcados en el mapa en consecuencia.","Il dispositivo offre una varietà di punti di interesse, tra cui bagni, negozi, ospedali e stazioni. Questi punti di interesse sono tutti contrassegnati sulla mappa di conseguenza.","O dispositivo oferece uma variedade de pontos de interesse, incluindo banheiros, lojas, hospitais e estações. Esses pontos de interesse estão marcados no mapa de acordo.","이 기기는 화장실, 상점, 병원, 역 등 다양한 관심지점을 제공합니다. 이 관심지점들은 모두 지도에 해당하는 위치에 표시되어 있습니다.",このデバイスは、トイレ、店舗、病院、駅など、さまざまなPOIを提供します。これらのPOIは地図上に対応して表示されます。,"Устройство предлагает разнообразные точки интереса, включая туалеты, магазины, больницы и станции. Все эти точки интереса соответствующим образом отмечены на карте.","Licznik oferuje wiele kategorii punktów POI, w tym toalety, sklepy, szpitale, stacje itp. Wszystkie są oznaczone odpowiednimi ikonami na mapie.",碼錶提供了多類興趣點，包含廁所、商店、醫院、車站等。這些興趣點在地圖上均有相應的標識,"Enheden viser diverse interessepunkter som toiletter, butikker, hospitaler og stationer - alle markeret på kortet.","Zařízení nabízí různé zajímavé body (obchody, restaurace, nemocnice atd.) Tyto body jsou na mapě vyznačeny.","Enheten erbjuder olika intressepunkter, inklusive toaletter, butiker, sjukhus och stationer. Dessa intressepunkter markeras på kartan.","Enheten tilbyr ulike interessepunkter, inkludert toaletter, butikker, sykehus og stasjoner. Disse interessepunktene markeres på kartet.","Het apparaat biedt verschillende nuttige punten, zoals toiletten, winkels, ziekenhuizen en stations. Deze nuttige punten worden overeenkomstig op de kaart gemarkeerd."
导航设置页,,KW_SETTING_MAP_AUTO_SCALE,地图自动缩放,Auto Map Zoom,Zoom automatique de la carte,Automatischer Kartenzoom,Zoom automático del mapa,Zoom automatico della mappa,Zoom automático do mapa,지도 자동 확대/축소,地図の自動ズーム,Автомасштабирование карты,Automatyczne powiększanie mapy,地圖自動縮放,Automatisk kortzoom,Automatické přiblížení mapy,Automatisk kartzoom,Auto-kartzoom,Automatische kaartzoom
导航设置页、导航视角,,KW_SETTING_NAVIGATION_FACE_TO,导航视角,Navigation Viewpoint,Point de vue de navigation,Navigationsansicht,Punto de vista de navegación,Orientamento mappa,Perspetiva de Navegação,내비게이션 시점,ナビ表示視点,Вид навигации,Widok nawigacji,導航視角,Kortretning,Zobrazení mapy,Navigeringsvy,Navigasjonsvisning,Navigatieweergave
导航设置页、导航视角,,KW_SETTING_NAVIGATION_FACE_TO_PATH,车头朝上,​Heading Up Mode​,​Mode cap vers le haut​,Fahrtrichtung,Orient. Movimiento​,Modalità direzione in alto,​Modo Direção Para Cima​,진행 방향 위,​進行方向上モード​,По движению,Tryb kierunek u góry,車頭朝上,Køreretning op,Režim směr nahoru,Färdriktning upp,Retning opp-modus,Rijrichting boven
导航设置页、导航视角,,KW_SETTING_NAVIGATION_FACE_TO_NORTH,北朝上,North Up​,Nord vers le haut​,Norden oben,Norte Arriba​,Nord in alto,Norte Para Cima​,북쪽 위,北上​,Север сверху,Północ u góry,北朝上,Nord op,Sever nahoře,Norr upp,Nord opp-modus,Noorden boven
导航设置页、规划策略页,,KW_SETTING_NAVIGATION_ROUTE_STRATEGY,规划策略,Route Planning Strategy,Stratégie de planification d'itinéraire,Strategie der Routenplanung,Estrategia de Planificación de Ruta,Strategia ricalcolo percorso,Estratégia de Planeamento de Rota,경로 계획 전략,ルート計画戦略,Способ перестроения маршрута,Strategia wyznaczania trasy,規劃策略,Strategi for rute planlægning,Strategie přepočtu trasy,Strategi för ruttplanering,Ruteplanleggingsstrategi,Strategie voor routeplanning
规划策略页,,KW_SETTING_NAVIGATION_DIRECTION_DESTINATION,终点方向,Direction to Destination,Direction vers la destination,Richtung zum Ziel,Dirección al Destino,Naviga verso destinazione,Direção para o Destino,목적지로의 방향,目的地方向,Напрямую к финишу,Kierunek do celu,終點方向,Retning mod destination,Směr k cíli,Riktning mot destination,Retning til destinasjonen,Richting naar bestemming
规划策略页,,KW_SETTING_NAVIGATION_NEAREST_INTERSECTION,最近路口点,Next Road Junction,Prochaine jonction routière,Nächste Straßenkreuzung,Próximo Cruce,Prossimo incrocio,Próxima Junção de Estrada,다음 도로 교차로,次の交差点,К ближайшему перекр.,Następne skrzyżowanie,最近路口點,Næste vejkryds,Nejbližší křižovatka,Nästa vägkorsning,Neste veikryss,Volgende kruising
规划策略说明页,,KW_SETTING_NAVIGATION_STRATEGY_NOTICE,我们为您提供两种偏航重新规划策略：,We provide two off-route re-routing strategies:,Nous fournissons deux stratégies de réacheminement hors itinéraire :,Wir bieten zwei Strategien zur Neuberechnung bei Verlassen der Route:,Ofrecemos dos estrategias de recálculo de ruta por desvío :,Forniamo due strategie di ricalcolo fuori percorso:,Disponibilizamos duas estratégias de recálculo fora de rota:,경로 이탈 시 재탐색 2가지 옵션;,ルート外再ルート設定には2つの戦略があります：,Доступны два варианта перерасчёта маршрута при отклонении,Dostępne są dwie strategie ponownego wyznaczania trasy:,我們為您提供兩種偏航重新規劃策略：,Vi tilbyder to re-routing strategier ved afvigelse:,Nabízíme dvě strategie přepočtu mimo trasu:,Vi erbjuder två omdirigeringsstrategier når du avviker från rutten:,Vi tilbyr to omrutingsvalg ved avvik fra ruten:,We bieden twee herrouteringsstrategieën bij afwijken van de route:
规划策略说明页,,KW_SETTING_NAVIGATION_NEAREST_INTERSECTION_NOTICE,最近路口点：系统将引导您返回至最近的路径节点，尽可能保障您延续原定路线骑行。,Next Road Junction: The system will guide you back to the nearest track point to ensure you resume your original route with minimal disruption.,Prochaine jonction routière : Le système vous guidera vers le point de piste le plus proche pour garantir que vous repreniez votre itinéraire d'origine avec un minimum de perturbation.,"Nächste Straßenkreuzung: Das System führt Sie zurück zum nächstgelegenen Streckenpunkt, damit Sie Ihre ursprüngliche Route mit minimaler Unterbrechung fortsetzen können.",Próximo Cruce: El sistema te guiará de vuelta al punto de ruta más cercano para garantizar que reanudes tu ruta original con una interrupción mínima.,Prossimo incrocio: il sistema ti guiderà al punto traccia più vicino per riprendere il percorso originale con la minima interruzione.,Próxima Junção de Estrada: O sistema irá guiá-lo de volta ao ponto de trilho mais próximo para garantir que retoma a rota original com a mínima interrupção.,"다음 도로 교차로 기준 재탐색: 기존 경로를 크게 벗어나지 않고 주행을 재개할 수 있도록, 가장 가까운 경로 포인트로 돌아가는 길을 안내합니다.",次の交差点：システムは最も近いトラックポイントまで案内し、元のルートへ最小限の影響で復帰できるようにします。,"К ближайшей точке маршрута: устройство направит вас к ближайшей точке маршрута, чтобы вы могли продолжить движение по исходному маршруту","Następne skrzyżowanie: system poprowadzi Cię do najbliższego punktu śladu, aby wrócić na pierwotną trasę z minimalnym zakłóceniem.",最近路口點：系統將引導您返回至最近的路徑節點，盡可能保障您延續原定路線騎乘。,"Næste vejkryds: Systemet guider dig tilbage til det nærmeste sporpunkt, så du kan genoptage din oprindelige rute med minimal forstyrrelse.","Nejbližší křižovatka: systém vás navede zpět k nejbližšímu bodu trasy, abyste se co nejplynuleji vrátili na původní trasu.",Nästa vägkorsning: Systemet leder dig tillbaka till närmaste spårpunkt så att du kan återuppta den ursprungliga rutten med minsta möjliga störning.,Neste veikryss: Systemet leder deg tilbake til ruten.,"Volgende kruising: Het systeem leidt u terug naar het dichtstbijzijnde trackpunt, zodat u uw oorspronkelijke route met minimale onderbreking kunt hervatten."
规划策略说明页,,KW_SETTING_NAVIGATION_DIRECTION_DESTINATION_NOTICE,终点方向：系统将指引您朝终点方向回归路线。若路线中存在爬坡段或途经点，将优先导航至该爬坡段/途经点，确保关键节点不被遗漏。,"Direction to Destination: The system will guide you back toward the destination. If climbs or waypoints exist on the route, priority navigation will direct you to these key points to ensure critical segments are not missed.","Direction vers la destination : Le système vous guidera vers la destination. Si des montées ou des points de passage existent sur l'itinéraire, la navigation prioritaire vous dirigera vers ces points clés pour garantir que les segments critiques ne soient pas manqués.","Richtung zum Ziel: Das System führt Sie zurück in Richtung Ziel. Wenn sich Anstiege oder Wegpunkte auf der Route befinden, führt Sie die priorisierte Navigation zu diesen wichtigen Punkten, damit keine entscheidenden Abschnitte verpasst werden.","Dirección al Destino: El sistema te guiará de vuelta hacia el destino. Si hay ascensos o puntos de paso en la ruta, la navegación prioritaria te dirigirá a estos puntos clave para garantizar que no te pierdas segmentos críticos.","Naviga verso destinazione: il sistema ti guiderà verso la destinazione. Se sul percorso sono presenti salite o waypoint, la navigazione prioritaria ti guiderà verso questi punti chiave per evitare di perdere segmenti importanti.","Direção para o Destino: O sistema irá guiá-lo de volta na direção do destino. Se existirem subidas ou pontos de passagem na rota, a navegação prioritária irá encaminhá-lo para estes pontos-chave para garantir que segmentos críticos não são perdidos.","목적지 중심 재탐색: 최종 목적지 방향으로 경로를 다시 안내합니다. 만약 원래 경로에 업힐(클라이밍) 구간이나 주요 경유지(Waypoint)가 포함되어 있다면, 해당 핵심 구간을 놓치지 않고 통과할 수 있도록 이 지점들을 우선적으로 경유하는 경로를 안내합니다.",目的地方向：システムは目的地の方向へ案内します。ルート上にクライムやウェイポイントがある場合、重要なセグメントを逃さないよう、これらの主要ポイントが優先的に案内されます。,"Напрямую к финишу: устройство направит вас в сторону конечной точки для возврата на маршрут. Если на маршруте есть подъёмы или промежуточные точки, навигация сначала приведёт к ним, чтобы ключевые участки не были пропущены","Kierunek do celu: system poprowadzi Cię w stronę celu. Jeśli na trasie są podjazdy lub punkty pośrednie, nawigacja priorytetowa poprowadzi do tych kluczowych punktów, aby nie pominąć ważnych segmentów.",終點方向：系統將指引您朝終點方向回歸路線。若路線中存在爬坡段或途經點，將優先導航至該爬坡段/途經點，確保關鍵節點不被遺漏。,"Retning mod destination: Systemet guider dig tilbage mod destinationen. Hvis der findes stigninger eller waypoints på ruten, vil prioriteret navigation føre dig til disse nøglepunkter for at sikre, at vigtige segmenter ikke overses.","Směr k cíli: systém vás povede směrem k cíli. Pokud jsou na trase stoupání nebo trasové body, prioritní navigace vás navede na tyto klíčové body, aby nedošlo k vynechání důležitých segmentů.",Riktning mot destination: Systemet leder dig tillbaka mot destinationen. Om det finns stigningar eller delmål på rutten prioriterar navigeringen dessa nyckelpunkter så dat viktiga segment inte missas.,Retning til destinasjonen: Systemet leder deg direkte mot destinasjonen dersom du avviker fra ruten.,"Richting naar bestemming: Het systeem leidt u terug in de richting van de bestemming. Als er beklimmingen of waypoints op de route zijn, geeft de navigatie prioriteit aan deze belangrijke punten om te voorkomen dat kritieke segmenten worden gemist."
导航卡片设置,,KW_SETTING_NAVIGATION_CARD,导航卡片,Navigation Card,Carte de navigation,Navigationskarte,Tarjeta de navegación,Scheda navigazione,Cartão de Navegação,내비게이션 카드,ナビカード,Карта навиагции,Karta nawigacji,導航卡片,Navigationskort,Navigační karta,Navigeringskort,Navigasjonskort,Navigatiekaart
导航卡片设置,,KW_SETTING_NAVIGATION_CLASSIC_MODE,经典模式,Classic Mode,Mode classique,Klassischer Modus,Modo clásico,Modalità classica,Modo Clássico,클래식 모드,クラシックモード,Классический режим,Tryb klasyczny,經典模式,Klassisk tilstand,Klasický režim,Klassiskt läge,Klassisk modus,Klassieke modus
导航卡片设置,,KW_SETTING_NAVIGATION_SIMPLE_MODE,简约模式,Simplified Mode,Mode simplifié,Vereinfachter Modus,Modo sencillo,Modalità semplificata,Modo simplificado,간소화 모드,シンプルモード,Упрощённый режим,Tryb uproszczony,簡約模式,Forenklet tilstand,Zjednodušený režim,Förenklat läge,Forenklet modus,Vereenvoudigde modus
导航设置页、急转弯提示,,KW_SETTING_NAVIGATION_SHARP_TURN,急转弯提示,Sharp Turn Warning,Alerte virage serré,Scharfer-Kurve-Warnung,Advertencia de giro agudo,Avvertimento per curva stretta,Aviso de curva aguda,급각휠 경고,急カーブ警告,Предупреждение о резком повороте,Ostrzeżenie o ostrym zakręcie,急轉彎提示,Advarsel om skarpt sving,Varování na prudkou zatáčku,Varning för skarp kurva,Varsel om skarp sving,Waarschuwing voor scherpe bocht
急弯/陡坡设置,,KW_SETTING_COMPLEX_ROAD_SLOW_DOWN,减速提醒,Deceleration Alert,Alerte de décélération,Verzögerungswarnung,Alerta de desaceleración,Allarme decelerazione,Alerta de desaceleração,감속 경고,減速アラート,Предупреждение о замедлении,Ostrzeżenie o zmniejszeniu prędkości,減速提醒,Hastighedsreduktionsalarm,Upozornění na Zpomalení,Inbromsningsvarning,Varsel om fartsreduksjon,Vertraagwaarschuwing
