词条所在界面（注意是界面不是模块！！）,KW,,中文,英文,法语,德语,西班牙语,意大利语,葡萄牙语,韩语,日语,俄语,波兰语,繁体中文,丹麦语,捷克语,瑞典语,挪威语,荷兰语,泰语,芬兰语,土耳其语,,
导航规划失败的提示弹窗,KW_RIDE_PLAN_FAIL_NEED_APP_NOTICE,,规划失败，请连接 app 后重试,Planning failed. Please connect to the app and try again.,Échec de la planification. Connectez-vous à l’app et réessayez.,Planung fehlgeschlagen. Bitte verbinde dich mit der App und versuche es erneut.,Error en la planificación. Conéctate a la app e inténtalo de nuevo.,Pianificazione non riuscita. Connettiti all’app e riprova.,Falha no planejamento. Conecte-se ao app e tente novamente.,계획에 실패했습니다. 앱에 연결한 후 다시 시도하세요.,計画に失敗しました。アプリに接続してもう一度お試しください。,Планирование не удалось. Подключитесь к приложению и повторите попытку.,Planowanie nie powiodło się. Połącz się z aplikacją i spróbuj ponownie.,規劃失敗。請連接 App 後重試。,"Planlægning mislykkedes. Opret forbindelse til appen, og prøv igen.",Plánování se nezdařilo. Připojte se k aplikaci a zkuste to znovu.,Planeringen misslyckades. Anslut till appen och försök igen.,Planlegging mislyktes. Koble til appen og prøv igjen.,Planning mislukt. Maak verbinding met de app en probeer het opnieuw.,วางแผนไม่สำเร็จ โปรดเชื่อมต่อกับแอปแล้วลองอีกครั้ง,Suunnittelu epäonnistui. Yhdistä sovellukseen ja yritä uudelleen.,Planlama başarısız. Uygulamaya bağlanıp tekrar deneyin.,,
导航规划失败的提示弹窗,KW_RIDE_OFFLINE_PLAN_FAIL_NEED_APP,,离线规划失败，请连接 app 后重试,Offline planning failed. Please connect to the app and try again.,Échec de la planification hors ligne. Connectez-vous à l’app et réessayez.,Offline-Planung fehlgeschlagen. Bitte verbinde dich mit der App und versuche es erneut.,Error en la planificación offline. Conéctate a la app e inténtalo de nuevo.,Pianificazione offline non riuscita. Connettiti all’app e riprova.,Falha no planejamento offline. Conecte-se ao app e tente novamente.,오프라인 계획에 실패했습니다. 앱에 연결한 후 다시 시도하세요.,オフライン計画に失敗しました。アプリに接続してもう一度お試しください。,Офлайн-планирование не удалось. Подключитесь к приложению и повторите попытку.,Planowanie offline nie powiodło się. Połącz się z aplikacją i spróbuj ponownie.,離線規劃失敗。請連接 App 後重試。,"Offlineplanlægning mislykkedes. Opret forbindelse til appen, og prøv igen.",Offline plánování se nezdařilo. Připojte se k aplikaci a zkuste to znovu.,Offlineplaneringen misslyckades. Anslut till appen och försök igen.,Frakoblet planlegging mislyktes. Koble til appen og prøv igjen.,Offline planning mislukt. Maak verbinding met de app en probeer het opnieuw.,วางแผนออฟไลน์ไม่สำเร็จ โปรดเชื่อมต่อกับแอปแล้วลองอีกครั้ง,Offline-suunnittelu epäonnistui. Yhdistä sovellukseen ja yritä uudelleen.,Çevrim dışı planlama başarısız. Lütfen uygulamaya bağlanıp tekrar deneyin.,,
导航规划失败的提示弹窗,KW_RIDE_SAME_LOCATION_AS_DEST_NOTICE,,当前位置与目标位置相同,Current location is the same as destination.,La position actuelle est identique à la destination.,Aktueller Standort ist mit dem Ziel identisch.,La ubicación actual es la misma que el destino.,La posizione attuale è uguale alla destinazione.,A localização atual é a mesma que o destino.,현재 위치가 목적지와 같습니다.,現在地は目的地と同じです。,Текущее местоположение совпадает с пунктом назначения.,Bieżąca lokalizacja jest taka sama jak miejsce docelowe.,目前位置與目的地相同。,Den aktuelle placering er den samme som destinationen.,Aktuální poloha je stejná jako cíl.,Nuvarande plats är samma som destinationen.,Gjeldende posisjon er den samme som destinasjonen.,Huidige locatie is hetzelfde als de bestemming.,ตำแหน่งปัจจุบันตรงกับปลายทาง,Nykyinen sijainti on sama kuin määränpää.,Geçerli konum hedefle aynı.,,
导航规划失败的提示弹窗,KW_RIDE_ROAD_NETWORK_NEED_APP_NOTICE,,路网不通，请连接 app 后重试,Road network unavailable. Connect to app and retry.,Réseau routier indisponible. Connectez-vous à l’application et réessayez.,Straßennetz nicht verfügbar. Bitte mit der App verbinden und erneut versuchen.,Red de carreteras no disponible. Conéctate a la app e inténtalo de nuevo.,Rete stradale non disponibile. Connettiti all’app e riprova.,Rede viária indisponível. Conecte-se ao app e tente novamente.,도로망을 사용할 수 없습니다. 앱에 연결한 후 다시 시도하세요.,道路ネットワークを利用できません。アプリに接続して再試行してください。,Дорожная сеть недоступна. Подключитесь к приложению и повторите попытку.,Sieć dróg niedostępna. Połącz się z aplikacją i spróbuj ponownie.,道路網路不可用。請連接 App 後重試。,"Vejnetværk ikke tilgængeligt. Opret forbindelse til appen, og prøv igen.",Silniční síť není k dispozici. Připojte se k aplikaci a zkuste to znovu.,Vägnätet är inte tillgängligt. Anslut till appen och försök igen.,Veinettverk utilgjengelig. Koble til appen og prøv igjen.,Wegennet niet beschikbaar. Maak verbinding met de app en probeer opnieuw.,เครือข่ายถนนไม่พร้อมใช้งาน โปรดเชื่อมต่อกับแอปแล้วลองอีกครั้ง,Tieverkko ei ole käytettävissä. Yhdistä sovellukseen ja yritä uudelleen.,Yol ağı kullanılamıyor. Uygulamaya bağlanın ve tekrar deneyin.,,
地图选点详情弹窗,KW_RIDE_MARKED_POINT,,标记的点,Marked Points,Points marqués,Markierte Punkte,Puntos marcados,Punti segnati,Pontos marcados,표시된 지점,マーク地点,Отмеченные точки,Zaznaczone punkty,標記點,Markerede punkter,Označené body,Markerade punkter,Merkede punkter,Gemarkeerde punten,จุดที่ทำเครื่องหมายไว้,Merkityt pisteet,İşaretli noktalar,,
地图选点详情弹窗,KW_RIDE_DISTANCE,,距离,Distance,Distance,Distanz,Distancia,Distanza,Distância,거리,距離,Расстояние,Dystans,距離,Distance,Vzdálenost,Distans,Distanse,Afstand,ระยะทาง,Matka,Mesafe,,
地图选点详情弹窗,KW_RIDE_DIRECTION,,方向,Direction,Direction,Richtung,Dirección,Direzione,Direção,방향,方向,Направление,Kierunek,方向,Retning,Směr,Riktning,Retning,Richting,ทิศทาง,Suunta,Yön,,
POI 点详情弹窗,KW_RIDE_NAVIGATION,,导航,Navigation,Navigation,Navigation,Navegación,Navigazione,Navegação,내비게이션,ナビゲーション,Навигация,Nawigacja,導航,Navigation,Navigace,Navigering,Navigasjon,Navigatie,การนำทาง,Navigointi,Navigasyon,,
POI 点详情弹窗,KW_RIDE_SET_AS_WAYPOINT,,设为途经点,Set as Waypoint,Définir comme point de passage,Als Wegpunkt festlegen,Establecer como punto de paso,Imposta come waypoint,Definir como ponto de passagem,웨이포인트로 설정,ウェイポイントに設定,Установить как промежуточную точку,Ustaw jako punkt trasy,設為航點,Indstil som waypoint,Nastavit jako průjezdní bod,Ange som waypoint,Angi som veipunkt,Instellen als tussenpunt,ตั้งเป็นเวย์พอยต์,Aseta reittipisteeksi,Ara nokta olarak ayarla,,
POI 点详情弹窗,KW_RIDE_SAVE_AS_LOCATION_POINT,,收藏为位置点,Save as Location Point,Enregistrer comme point de position,Als Positionspunkt speichern,Guardar como punto de ubicación,Salva come punto posizione,Salvar como ponto de localização,위치 지점으로 저장,位置ポイントとして保存,Сохранить как точку местоположения,Zapisz jako punkt lokalizacji,儲存為位置點,Gem som positionspunkt,Uložit jako bod polohy,Spara som positionspunkt,Lagre som posisjonspunkt,Opslaan als locatiepunt,บันทึกเป็นจุดตำแหน่ง,Tallenna sijaintipisteeksi,Konum noktası olarak kaydet,,
POI 点详情弹窗,KW_RIDE_CANCEL,,取消,Cancel,Annuler,Abbrechen,Cancelar,Annulla,Cancelar,취소,キャンセル,Отмена,Anuluj,取消,Annuller,Zrušit,Avbryt,Avbryt,Annuleren,ยกเลิก,Peruuta,İptal,,
爬坡点位详情弹窗,KW_RIDE_CLIMB_SEGMENT_CATEGORY,,坡段等级,Climb Segment Category,Catégorie de segment de montée,Kategorie des Anstiegssegments,Categoría del segmento de subida,Categoria segmento di salita,Categoria do segmento de subida,클라임 구간 카테고리,クライムセグメントカテゴリ,Категория сегмента подъёма,Kategoria segmentu podjazdu,爬坡賽段類別,Kategori for stigningssegment,Kategorie segmentu stoupání,Kategori för klättringssegment,Kategori for stigningssegment,Categorie klimsegment,ประเภทช่วงเนิน,Noususegmentin luokka,Tırmanış segmenti kategorisi,,
爬坡点位详情弹窗,KW_RIDE_CLIMB_LENGTH,,坡长,Climb Length,Longueur de montée,Anstiegslänge,Longitud de subida,Lunghezza salita,Comprimento da subida,클라임 길이,クライム距離,Длина подъёма,Długość podjazdu,爬坡長度,Stigningslængde,Délka stoupání,Klättringslängd,Stigningslengde,Klimlengte,ความยาวเนิน,Nousun pituus,Tırmanış uzunluğu,,
爬坡点位详情弹窗,KW_RIDE_CLIMB_ASCENT,,爬升,Ascent,Dénivelé +,Anstieg,Ascenso,Ascesa,Subida,상승 고도,上昇量,Набор высоты,Przewyższenie,爬升,Stigning,Stoupání,Stigning,Stigning,Stijging,ความสูงสะสม,Nousu,Tırmanış,,
爬坡点位详情弹窗,KW_RIDE_ROUTE_AVG_GRADE,,平均坡度,Avg Grade,Pente moy.,Ø Steigung,Pendiente media,Pendenza media,Inclinação média,평균 경사도,平均勾配,Ср. уклон,Śr. nachylenie,平均坡度,Gns. stigning,Prům. sklon,Snittlutning,Gj.sn. stigning,Gem. helling,ความชันเฉลี่ย,Keskim. kaltevuus,Ort. eğim,,
赛段点位详情弹窗,KW_RIDE_SEGMENT_LENGTH,,赛段长度,Segment Length,Longueur du segment,Segmentlänge,Longitud del segmento,Lunghezza segmento,Comprimento do segmento,구간 길이,セグメント距離,Длина сегмента,Długość segmentu,賽段長度,Segmentlængde,Délka segmentu,Segmentlängd,Segmentlengde,Segmentlengte,ความยาวเซกเมนต์,Segmentin pituus,Segment uzunluğu,,
赛段点位详情弹窗,KW_RIDE_SEGMENT_KOM_QOM_PR,,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,KOM/QOM/PR,,
收藏成功轻提示,KW_RIDE_FAVORITED_TOAST,,已收藏,Favorited,Ajouté aux favoris,Favorisiert,Añadido a favoritos,Aggiunto ai preferiti,Adicionado aos favoritos,즐겨찾기에 추가됨,お気に入りに追加済み,Добавлено в избранное,Dodano do ulubionych,已收藏,Føjet til favoritter,Přidáno do oblíbených,Tillagd i favoriter,Lagt til i favoritter,Toegevoegd aan favorieten,เพิ่มในรายการโปรดแล้ว,Suosikeissa,Favorilere eklendi,,
收藏超限轻提示,KW_RIDE_LOCATION_POINT_LIMIT_NOTICE,,位置点已达上限（50 个），请先删除,Location point limit reached (50). Please delete some first.,Limite de points de position atteinte (50). Veuillez d’abord en supprimer quelques-uns.,Limit für Positionspunkte erreicht (50). Bitte lösche zuerst einige.,Se alcanzó el límite de puntos de ubicación (50). Elimina algunos primero.,Limite punti posizione raggiunto (50). Eliminane prima alcuni.,Limite de pontos de localização atingido (50). Exclua alguns primeiro.,위치 지점 한도(50개)에 도달했습니다. 먼저 일부를 삭제하세요.,位置ポイントの上限（50）に達しました。先にいくつか削除してください。,Достигнут лимит точек местоположения (50). Сначала удалите некоторые.,Osiągnięto limit punktów lokalizacji (50). Najpierw usuń kilka.,位置點數量已達上限（50）。請先刪除部分位置點。,Grænsen for positionspunkter er nået (50). Slet nogle først.,Bylo dosaženo limitu bodů polohy (50). Nejprve některé smažte.,Gränsen för positionspunkter har nåtts (50). Ta bort några först.,Grensen for posisjonspunkter er nådd (50). Slett noen først.,Limiet voor locatiepunten bereikt (50). Verwijder er eerst enkele.,ถึงขีดจำกัดจุดตำแหน่งแล้ว (50) โปรดลบบางรายการก่อน,Sijaintipisteiden raja on saavutettu (50). Poista ensin joitakin.,Konum noktası sınırına ulaşıldı (50). Lütfen önce birkaçını silin.,,
收藏失败轻提示,KW_RIDE_FAVORITE_FAIL_NOTICE,,收藏失败，请重试,Failed to save to favorites. Please try again.,Échec de l’enregistrement dans les favoris. Veuillez réessayer.,Speichern in Favoriten fehlgeschlagen. Bitte versuche es erneut.,No se pudo guardar en favoritos. Inténtalo de nuevo.,Salvataggio nei preferiti non riuscito. Riprova.,Falha ao salvar nos favoritos. Tente novamente.,즐겨찾기에 저장하지 못했습니다. 다시 시도하세요.,お気に入りへの保存に失敗しました。もう一度お試しください。,Не удалось сохранить в избранное. Повторите попытку.,Nie udało się zapisać w ulubionych. Spróbuj ponownie.,儲存至收藏失敗。請重試。,Kunne ikke gemme i favoritter. Prøv igen.,Nepodařilo se uložit do oblíbených. Zkuste to znovu.,Det gick inte att spara i favoriter. Försök igen.,Kunne ikke lagre i favoritter. Prøv igjen.,Opslaan in favorieten mislukt. Probeer het opnieuw.,บันทึกไปยังรายการโปรดไม่สำเร็จ โปรดลองอีกครั้ง,Suosikkeihin tallennus epäonnistui. Yritä uudelleen.,Favorilere kaydedilemedi. Lütfen tekrar deneyin.,,
收藏点位弹窗按钮,KW_RIDE_FAVORITED_BUTTON,,已收藏,Added to favorites.,Ajouté aux favoris.,Zu Favoriten hinzugefügt.,Añadido a favoritos.,Aggiunto ai preferiti.,Adicionado aos favoritos.,즐겨찾기에 추가되었습니다.,お気に入りに追加しました。,Добавлено в избранное.,Dodano do ulubionych.,已加入收藏。,Føjet til favoritter.,Přidáno do oblíbených.,Tillagd i favoriter.,Lagt til i favoritter.,Toegevoegd aan favorieten.,เพิ่มในรายการโปรดแล้ว,Lisätty suosikkeihin.,Favorilere eklendi.,,
取消收藏,KW_RIDE_CANCELED,,已取消,Canceled.,Annulé.,Abgebrochen.,Cancelado.,Annullato.,Cancelado.,취소되었습니다.,キャンセルしました。,Отменено.,Anulowano.,已取消。,Annulleret.,Zrušeno.,Avbrutet.,Avbrutt.,Geannuleerd.,ยกเลิกแล้ว,Peruutettu.,İptal edildi.,,
取消收藏,KW_RIDE_OPERATION_FAIL_NOTICE,,操作失败，请重试,Operation failed. Please try again.,Échec de l’opération. Veuillez réessayer.,Vorgang fehlgeschlagen. Bitte versuche es erneut.,Error en la operación. Inténtalo de nuevo.,Operazione non riuscita. Riprova.,Falha na operação. Tente novamente.,작업에 실패했습니다. 다시 시도하세요.,操作に失敗しました。もう一度お試しください。,Операция не выполнена. Повторите попытку.,Operacja nie powiodła się. Spróbuj ponownie.,操作失敗。請重試。,Handlingen mislykkedes. Prøv igen.,Operace se nezdařila. Zkuste to znovu.,Åtgärden misslyckades. Försök igen.,Handlingen mislyktes. Prøv igjen.,Bewerking mislukt. Probeer het opnieuw.,ดำเนินการไม่สำเร็จ โปรดลองอีกครั้ง,Toiminto epäonnistui. Yritä uudelleen.,İşlem başarısız. Lütfen tekrar deneyin.,,
导航路线替换确认弹窗,KW_RIDE_ROUTE_REPLACE_CONFIRM,,是否替换当前路线？,Replace current route?,Remplacer l’itinéraire actuel ?,Aktuelle Route ersetzen?,¿Reemplazar la ruta actual?,Sostituire il percorso corrente?,Substituir a rota atual?,현재 경로를 교체하시겠습니까?,現在のルートを置き換えますか？,Заменить текущий маршрут?,Zastąpić bieżącą trasę?,取代目前路線？,Erstat aktuel rute?,Nahradit aktuální trasu?,Ersätt aktuell rutt?,Erstatt gjeldende rute?,Huidige route vervangen?,แทนที่เส้นทางปัจจุบันหรือไม่?,Korvataanko nykyinen reitti?,Geçerli rota değiştirilsin mi?,,
导航路线替换确认弹窗,KW_GLOBAL_YES,,是,Yes,Oui,Ja,Sí,Sì,Sim,예,はい,Да,Tak,是,Ja,Ano,Ja,Ja,Ja,ใช่,Kyllä,Evet,,
导航路线替换确认弹窗,KW_GLOBAL_NO,,否,No,Non,Nein,No,No,Não,아니요,いいえ,Нет,Nie,否,Nej,Ne,Nej,Nei,Nee,ไม่,Ei,Hayır,,
途经点替换确认弹窗,KW_RIDE_WAYPOINT_REPLACE_CONFIRM,,是否替换当前途经点？,Replace current waypoint?,Remplacer le point de passage actuel ?,Aktuellen Wegpunkt ersetzen?,¿Reemplazar el punto de paso actual?,Sostituire il waypoint corrente?,Substituir o ponto de passagem atual?,현재 웨이포인트를 교체하시겠습니까?,現在のウェイポイントを置き換えますか？,Заменить текущую промежуточную точку?,Zastąpić bieżący punkt trasy?,取代目前航點？,Erstat aktuelt waypoint?,Nahradit aktuální průjezdní bod?,Ersätt aktuell waypoint?,Erstatt gjeldende veipunkt?,Huidig tussenpunt vervangen?,แทนที่เวย์พอยต์ปัจจุบันหรือไม่?,Korvataanko nykyinen reittipiste?,Geçerli ara nokta değiştirilsin mi?,,
途经点详情弹窗,KW_USER_DELETE,,删除,Delete,Supprimer,Löschen,Eliminar,Elimina,Excluir,삭제,削除,Удалить,Usuń,刪除,Slet,Smazat,Ta bort,Slett,Verwijderen,ลบ,Poista,Sil,,
导航转向悬浮弹窗,KW_RIDE_KEEP_STRAIGHT,,保持直行,Continue straight,Continuer tout droit,Geradeaus weiterfahren,Continúa recto,Prosegui dritto,Siga em frente,직진,直進,Продолжайте прямо,Jedź prosto,繼續直行,Fortsæt ligeud,Pokračujte rovně,Fortsätt rakt fram,Fortsett rett frem,Ga rechtdoor,ตรงไป,Jatka suoraan,Düz devam et,,
到达终点提示弹窗,KW_RIDE_NAVI_DESTINATION_REACHED,,已到达终点，导航结束,Destination reached. Navigation ended.,Destination atteinte. Navigation terminée.,Ziel erreicht. Navigation beendet.,Destino alcanzado. Navegación finalizada.,Destinazione raggiunta. Navigazione terminata.,Destino alcançado. Navegação encerrada.,목적지에 도착했습니다. 내비게이션이 종료되었습니다.,目的地に到着しました。ナビゲーションを終了しました。,Пункт назначения достигнут. Навигация завершена.,Cel osiągnięty. Nawigacja zakończona.,已到達目的地。導航已結束。,Destination nået. Navigation afsluttet.,Cíl dosažen. Navigace ukončena.,Destination nådd. Navigeringen avslutad.,Destinasjon nådd. Navigasjon avsluttet.,Bestemming bereikt. Navigatie beëindigd.,ถึงปลายทางแล้ว การนำทางสิ้นสุด,Määränpää saavutettu. Navigointi päättyi.,Hedefe ulaşıldı. Navigasyon sona erdi.,,
轻度偏航提示弹窗,KW_RIDE_OFF_ROUTE,,已偏航,Off route,Hors itinéraire,Abseits der Route,Fuera de ruta,Fuori percorso,Fora da rota,경로 이탈,ルート外,Вне маршрута,Poza trasą,偏離路線,Uden for rute,Mimo trasu,Utanför rutten,Utenfor ruten,Van route,ออกนอกเส้นทาง,Poissa reitiltä,Rota dışı,,
路线规划状态弹窗,KW_RIDE_ROUTE_PLANNING,,规划中...,Planning...,Planification...,Planung...,Planificando...,Pianificazione...,Planejando...,계획 중...,計画中...,Планирование...,Planowanie...,規劃中...,Planlægger...,Plánování...,Planerar...,Planlegger...,Bezig met plannen...,กำลังวางแผน...,Suunnitellaan...,Planlanıyor...,,
偏航重规划成功弹窗,KW_RIDE_REPLANNED,,已重新规划,Replanned,Replanifié,Neu geplant,Recalculado,Ripianificato,Replanejado,재계획됨,再計画済み,Перепланировано,Przeplanowano,已重新規劃,Planlagt igen,Přeplánováno,Omplanerad,Planlagt på nytt,Opnieuw gepland,วางแผนใหม่แล้ว,Reitti suunniteltu uudelleen,Yeniden planlandı,,
离线规划失败提示弹窗,KW_RIDE_OFFLINE_PLAN_FAIL_NEED_APP,,离线规划失败，请连接 app 后重试,Offline planning failed. Please connect to the app and try again.,Échec de la planification hors ligne. Connectez-vous à l’app et réessayez.,Offline-Planung fehlgeschlagen. Bitte verbinde dich mit der App und versuche es erneut.,Error en la planificación offline. Conéctate a la app e inténtalo de nuevo.,Pianificazione offline non riuscita. Connettiti all’app e riprova.,Falha no planejamento offline. Conecte-se ao app e tente novamente.,오프라인 계획에 실패했습니다. 앱에 연결한 후 다시 시도하세요.,オフライン計画に失敗しました。アプリに接続してもう一度お試しください。,Офлайн-планирование не удалось. Подключитесь к приложению и повторите попытку.,Planowanie offline nie powiodło się. Połącz się z aplikacją i spróbuj ponownie.,離線規劃失敗。請連接 App 後重試。,"Offlineplanlægning mislykkedes. Opret forbindelse til appen, og prøv igen.",Offline plánování se nezdařilo. Připojte se k aplikaci a zkuste to znovu.,Offlineplaneringen misslyckades. Anslut till appen och försök igen.,Frakoblet planlegging mislyktes. Koble til appen og prøv igjen.,Offline planning mislukt. Maak verbinding met de app en probeer het opnieuw.,วางแผนออฟไลน์ไม่สำเร็จ โปรดเชื่อมต่อกับแอปแล้วลองอีกครั้ง,Offline-suunnittelu epäonnistui. Yhdistä sovellukseen ja yritä uudelleen.,Çevrim dışı planlama başarısız. Lütfen uygulamaya bağlanıp tekrar deneyin.,,
多次偏航确认弹窗,KW_RIDE_MULTI_OFF_ROUTE_END_NAVI_CONFIRM,,已多次偏航，是否结束导航？,Off route multiple times. End navigation?,Plusieurs sorties d’itinéraire détectées. Terminer la navigation ?,Mehrfach von der Route abgekommen. Navigation beenden?,Fuera de ruta varias veces. ¿Finalizar navegación?,Fuori percorso più volte. Terminare la navigazione?,Fora da rota várias vezes. Encerrar navegação?,여러 번 경로를 이탈했습니다. 내비게이션을 종료하시겠습니까?,複数回ルートを外れました。ナビゲーションを終了しますか？,Вы несколько раз отклонились от маршрута. Завершить навигацию?,Wielokrotnie poza trasą. Zakończyć nawigację?,多次偏離路線。是否結束導航？,Uden for rute flere gange. Afslut navigation?,Opakovaně mimo trasu. Ukončit navigaci?,Utanför rutten flera gånger. Avsluta navigeringen?,Utenfor ruten flere ganger. Avslutte navigasjon?,Meerdere keren van route. Navigatie beëindigen?,ออกนอกเส้นทางหลายครั้ง ต้องการจบการนำทางหรือไม่?,Poikettu reitiltä useita kertoja. Lopetetaanko navigointi?,Birden çok kez rotadan çıkıldı. Navigasyon sonlandırılsın mı?,,
多次偏航确认弹窗,KW_RIDE_END_NAVIGATION,,结束导航,End Navigation,Terminer la navigation,Navigation beenden,Finalizar navegación,Termina navigazione,Encerrar navegação,내비게이션 종료,ナビゲーション終了,Завершить навигацию,Zakończ nawigację,結束導航,Afslut navigation,Ukončit navigaci,Avsluta navigering,Avslutt navigasjon,Navigatie beëindigen,สิ้นสุดการนำทาง,Lopeta navigointi,Navigasyonu bitir,,
骑行功能菜单页面,KW_RIDE_END_ROUTE,,结束路线,End Route,Terminer l’itinéraire,Route beenden,Finalizar ruta,Termina percorso,Encerrar rota,경로 종료,ルート終了,Завершить маршрут,Zakończ trasę,結束路線,Afslut rute,Ukončit trasu,Avsluta rutt,Avslutt rute,Route beëindigen,สิ้นสุดเส้นทาง,Lopeta reitti,Rotayı bitir,,
结束路线确认弹窗,KW_RIDE_END_CURRENT_ROUTE_CONFIRM,,结束当前路线？,End current route?,Terminer l’itinéraire actuel ?,Aktuelle Route beenden?,¿Finalizar la ruta actual?,Terminare il percorso corrente?,Encerrar a rota atual?,현재 경로를 종료하시겠습니까?,現在のルートを終了しますか？,Завершить текущий маршрут?,Zakończyć bieżącą trasę?,結束目前路線？,Afslut aktuel rute?,Ukončit aktuální trasu?,Avsluta aktuell rutt?,Avslutte gjeldende rute?,Huidige route beëindigen?,สิ้นสุดเส้นทางปัจจุบันหรือไม่?,Lopetetaanko nykyinen reitti?,Geçerli rota sonlandırılsın mı?,,
到达终点提示弹窗,KW_RIDE_NAVI_DESTINATION_REACHED,,已到达终点，导航结束,Destination reached. Navigation ended.,Destination atteinte. Navigation terminée.,Ziel erreicht. Navigation beendet.,Destino alcanzado. Navegación finalizada.,Destinazione raggiunta. Navigazione terminata.,Destino alcançado. Navegação encerrada.,목적지에 도착했습니다. 내비게이션이 종료되었습니다.,目的地に到着しました。ナビゲーションを終了しました。,Пункт назначения достигнут. Навигация завершена.,Cel osiągnięty. Nawigacja zakończona.,已到達目的地。導航已結束。,Destination nået. Navigation afsluttet.,Cíl dosažen. Navigace ukončena.,Destination nådd. Navigeringen avslutad.,Destinasjon nådd. Navigasjon avsluttet.,Bestemming bereikt. Navigatie beëindigd.,ถึงปลายทางแล้ว การนำทางสิ้นสุด,Määränpää saavutettu. Navigointi päättyi.,Hedefe ulaşıldı. Navigasyon sona erdi.,,
路线规划失败提示弹窗,KW_RIDE_ROUTE_PLAN_FAIL_RETRY,,路线规划失败，请重试,Route planning failed. Please try again.,Échec de la planification de l’itinéraire. Veuillez réessayer.,Routenplanung fehlgeschlagen. Bitte versuche es erneut.,Error al planificar la ruta. Inténtalo de nuevo.,Pianificazione del percorso non riuscita. Riprova.,Falha no planejamento da rota. Tente novamente.,경로 계획에 실패했습니다. 다시 시도하세요.,ルート計画に失敗しました。もう一度お試しください。,Не удалось спланировать маршрут. Повторите попытку.,Planowanie trasy nie powiodło się. Spróbuj ponownie.,路線規劃失敗。請重試。,Ruteplanlægning mislykkedes. Prøv igen.,Plánování trasy se nezdařilo. Zkuste to znovu.,Ruttplaneringen misslyckades. Försök igen.,Ruteplanlegging mislyktes. Prøv igjen.,Routeplanning mislukt. Probeer het opnieuw.,วางแผนเส้นทางไม่สำเร็จ โปรดลองอีกครั้ง,Reitin suunnittelu epäonnistui. Yritä uudelleen.,Rota planlama başarısız. Lütfen tekrar deneyin.,,
骑行切换路线确认弹窗,KW_RIDE_END_CURRENT_ROUTE_START_NEW_CONFIRM,,是否结束当前路线，开始新路线？,End current route and start a new one?,Terminer l’itinéraire actuel et en commencer un nouveau ?,Aktuelle Route beenden und eine neue starten?,¿Finalizar la ruta actual e iniciar una nueva?,Terminare il percorso corrente e avviarne uno nuovo?,Encerrar a rota atual e iniciar uma nova?,현재 경로를 종료하고 새 경로를 시작하시겠습니까?,現在のルートを終了して新しいルートを開始しますか？,Завершить текущий маршрут и начать новый?,Zakończyć bieżącą trasę i rozpocząć nową?,結束目前路線並開始新路線？,Afslut aktuel rute og start en ny?,Ukončit aktuální trasu a spustit novou?,Avsluta aktuell rutt och starta en ny?,Avslutte gjeldende rute og starte en ny?,Huidige route beëindigen en een nieuwe starten?,สิ้นสุดเส้นทางปัจจุบันและเริ่มเส้นทางใหม่หรือไม่?,Lopetetaanko nykyinen reitti ja aloitetaanko uusi?,Geçerli rota sonlandırılıp yeni bir rota başlatılsın mı?,,
场景设置页面,KW_SETTING_NAVIGATION_SETTINGS,,导航设置,Navigation Settings,Paramètres de navigation,Navigationseinstellungen,Configuración de navegación,Impostazioni navigazione,Configurações de navegação,내비게이션 설정,ナビゲーション設定,Настройки навигации,Ustawienia nawigacji,導航設定,Navigationsindstillinger,Nastavení navigace,Navigeringsinställningar,Navigasjonsinnstillinger,Navigatie-instellingen,การตั้งค่าการนำทาง,Navigointiasetukset,Navigasyon ayarları,,
导航设置首页,KW_SETTING_MAP_SETTINGS,,地图设置,Map Settings,Paramètres de carte,Karteneinstellungen,Configuración del mapa,Impostazioni mappa,Configurações do mapa,지도 설정,地図設定,Настройки карты,Ustawienia mapy,地圖設定,Kortindstillinger,Nastavení mapy,Kartinställningar,Kartinnstillinger,Kaartinstellingen,การตั้งค่าแผนที่,Kartta-asetukset,Harita ayarları,,
导航设置首页,KW_SETTING_NAVIGATION_VIEWPOINT,,导航视角,Navigation Viewpoint,Vue de navigation,Navigationsansicht,Vista de navegación,Vista navigazione,Visualização de navegação,내비게이션 보기,ナビゲーションビュー,Вид навигации,Widok nawigacji,導航視角,Navigationsvisning,Zobrazení navigace,Navigeringsvy,Navigasjonsvisning,Navigatieweergave,มุมมองการนำทาง,Navigointinäkymä,Navigasyon bakış açısı,,
